"SRC","EPSG","Hemisferio"
"Xian 1980 / 3-degree Gauss-Kruger CM 78E",2371,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 81E",2372,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 84E",2373,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 87E",2374,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 90E",2375,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 93E",2376,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 96E",2377,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 99E",2378,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 102E",2379,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 105E",2380,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 108E",2381,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 111E",2382,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 114E",2383,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 117E",2384,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 120E",2385,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 123E",2386,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 126E",2387,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 129E",2388,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 132E",2389,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 135E",2390,"unknown"
"KKJ / Finland zone 1",2391,"unknown"
"KKJ / Finland zone 2",2392,"unknown"
"KKJ / Finland Uniform Coordinate System",2393,"unknown"
"KKJ / Finland zone 4",2394,"unknown"
"South Yemen / Gauss-Kruger zone 8",2395,"unknown"
"South Yemen / Gauss-Kruger zone 9",2396,"unknown"
"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 3",2397,"unknown"
"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 4",2398,"unknown"
"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 5",2399,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 25",2401,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 26",2402,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 27",2403,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 28",2404,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 29",2405,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 30",2406,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 31",2407,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 32",2408,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 33",2409,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 34",2410,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 35",2411,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 36",2412,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 37",2413,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 38",2414,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 39",2415,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 40",2416,"unknown"
"Beijing 1954 / 3-degree Gauss-Kruger zone 41",2417,"unknown"
